,station,change_CRIME_mean,change_CRIME_sem,long,lat
93,af5c5675-452b-4e1f-9d9f-7f4a0c50388d,,,-77.065803,38.884533
94,0826132d-1f3f-11e7-bf6b-3863bb334450,41.0,,-76.983683,38.915604
95,4f9000ec-e47e-494e-9b49-61e95b5a6f03,199.0,,-77.021595,38.914174
96,72e7c396-11ad-4e88-bf4b-e60584f748fc,-18.0,,-77.038684,38.942146
97,0825f8da-1f3f-11e7-bf6b-3863bb334450,,,-77.057619,38.820064
98,461df1a0-fac6-4a11-ac4c-ff795e6299c9,-299.0,,-77.0235,38.932128
99,0826233f-1f3f-11e7-bf6b-3863bb334450,1.0,,-77.049383,38.890539
100,89263cc9-13f6-4185-b315-5164c9bb930e,-44.0,,-77.012808,38.951596
101,8dfb34e2-7f75-4359-a374-5bf5e86c4793,,,-77.112754,38.882425
102,29f174dd-e7bc-4329-a570-0220f0d1be84,,,-77.353454,38.978503
103,174fc644-1a5a-4923-a8b5-373e0ad04525,,,-77.104784,38.874248
104,1939176485434179842,11.0,,-77.066409,38.975739
105,08254d7e-1f3f-11e7-bf6b-3863bb334450,,,-77.095431,38.84736
106,0627dc3c-5c62-4ab1-a6f0-3635c6f80d23,126.0,,-76.996023,38.922404
107,08249b10-1f3f-11e7-bf6b-3863bb334450,36.0,,-76.947974,38.894
108,082527e7-1f3f-11e7-bf6b-3863bb334450,,,-77.037413,38.879819
109,199df30f-328b-48af-8627-952bd9d6fe7c,,,-76.955047,38.939271
110,0826533b-1f3f-11e7-bf6b-3863bb334450,,,-77.340787,38.970412
111,08251c45-1f3f-11e7-bf6b-3863bb334450,,,-77.100989,38.850337
112,7c790f6e-7889-4c3c-97d6-ffd37e68bb2d,-143.0,,-76.983585,38.86044
113,0825f1f7-1f3f-11e7-bf6b-3863bb334450,,,-77.146866,39.084379
114,0825180e-1f3f-11e7-bf6b-3863bb334450,-2.0,,-77.055599,38.930282
115,0825baa3-1f3f-11e7-bf6b-3863bb334450,-86.0,,-76.933099,38.908473
116,0824806c-1f3f-11e7-bf6b-3863bb334450,64.0,,-76.947446,38.897063
117,30b5e0c1-7ca6-4050-8566-3fccf0b60890,-100.0,,-77.025613,38.953663
118,1928837279316128558,151.0,,-77.058468,38.935842
119,08264173-1f3f-11e7-bf6b-3863bb334450,,,-77.040691,38.812351
120,1934708272694780030,29.0,,-76.980378,38.941733
121,5075ddc9-7546-44a6-9445-0a48a53267df,,,-76.945495,39.081638
122,08254529-1f3f-11e7-bf6b-3863bb334450,-48.0,,-77.082426,38.954812
123,082639c8-1f3f-11e7-bf6b-3863bb334450,,,-77.351649,38.955079
124,1957750905852681124,,,-77.241518,38.876903
125,0824833c-1f3f-11e7-bf6b-3863bb334450,-7.0,,-77.000648,38.919077
126,0825fb66-1f3f-11e7-bf6b-3863bb334450,,,-77.05003,38.865553
127,08251984-1f3f-11e7-bf6b-3863bb334450,168.0,,-77.056887,38.905126
128,1957757292469049786,,,-77.204762,38.925572
129,0824e68d-1f3f-11e7-bf6b-3863bb334450,,,-77.04657,38.88412
130,d61b3881-e324-4c6d-aa92-849716c70b04,-121.0,,-76.97703,38.84623
