NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,REGION_NAME,GIS_ID,LATITUDE,LONGITUDE,GIS_LAST_MOD_DTTM,OBJECTID,geometry,Name,Opening Year
8th Rd & S Frederick St,classic,1cc6ee60-b82f-4264-a490-6c3e5e656ccd,,2024-10-22T07:06:12Z,12,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",41,DCA-CABI,,38.857049,-77.116339,2024-10-22T07:07:28Z,217279784,"{'type': 'Point', 'coordinates': [-77.11634399241319, 38.857058137884295]}",8th Rd & S Frederick St,2022.0
19th & East Capitol St SE,classic,08247dd0-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:12Z,12,0,3,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,DCA-CABI,,38.8896,-76.9769,2024-10-22T07:07:28Z,217279785,"{'type': 'Point', 'coordinates': [-76.97690314488696, 38.88960713177988]}",19th & East Capitol St SE,2010.0
S Kenmore St & 24th St S,classic,08254e55-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:06Z,2,0,10,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",41,DCA-CABI,,38.848454,-77.084918,2024-10-22T07:07:28Z,217279786,"{'type': 'Point', 'coordinates': [-77.08491527397618, 38.84846415246427]}",S Kenmore St & 24th St S,2023.0
Medical Center Metro ,classic,0826168f-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:10Z,18,0,1,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",44,DCA-CABI,,38.999378,-77.097882,2024-10-22T07:07:28Z,217279787,"{'type': 'Point', 'coordinates': [-77.09788625528955, 38.99938845651875]}",Medical Center Metro ,2016.0
Adams Mill & Columbia Rd NW,classic,08247632-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:11Z,13,0,2,0,4,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.922849,-77.042525,2024-10-22T07:07:28Z,217279788,"{'type': 'Point', 'coordinates': [-77.04253189968074, 38.92286050277936]}",Adams Mill & Columbia Rd NW,2010.0
Massachusetts Ave & Dupont Circle NW,classic,0824920a-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:11Z,31,0,12,0,2,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,45,"KEY,CREDITCARD",42,DCA-CABI,,38.9101,-77.0444,2024-10-22T07:07:28Z,217279789,"{'type': 'Point', 'coordinates': [-77.04440365461915, 38.91010400505649]}",Massachusetts Ave & Dupont Circle NW,2010.0
Tenleytown / Wisconsin Ave & Albemarle St NW,classic,08249f58-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:16Z,4,0,9,0,2,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,DCA-CABI,,38.947607,-77.079382,2024-10-22T07:07:28Z,217279790,"{'type': 'Point', 'coordinates': [-77.07938079082317, 38.94761412034644]}",Tenleytown / Wisconsin Ave & Albemarle St NW,2010.0
Virginia Theological Seminary,classic,b0cdb0b4-a4e5-47f2-90fd-f3f8266b809f,,2024-10-22T07:06:17Z,10,0,1,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",40,DCA-CABI,,38.820152,-77.093879,2024-10-22T07:07:28Z,217279791,"{'type': 'Point', 'coordinates': [-77.09388659511367, 38.82016169321095]}",Virginia Theological Seminary,2022.0
Tysons Metro North,classic,08263601-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:13Z,14,0,1,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",104,DCA-CABI,,38.920939,-77.222115,2024-10-22T07:07:28Z,217279792,"{'type': 'Point', 'coordinates': [-77.22211228800634, 38.92094557438462]}",,
20th & O St NW / Dupont South,classic,0824c8d2-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:13Z,5,0,14,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.908905,-77.04478,2024-10-22T07:07:28Z,217279793,"{'type': 'Point', 'coordinates': [-77.04478339225562, 38.908914758458636]}",20th & O St NW / Dupont South,2012.0
17th & Corcoran St NW,classic,08249549-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:19Z,3,0,13,0,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.9121,-77.0387,2024-10-22T07:07:28Z,217279794,"{'type': 'Point', 'coordinates': [-77.03869747521819, 38.912105886522944]}",17th & Corcoran St NW,2010.0
Ballenger Ave & Dulaney St,classic,0825f872-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:20Z,16,0,3,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",40,DCA-CABI,,38.802677,-77.063562,2024-10-22T07:07:28Z,217279795,"{'type': 'Point', 'coordinates': [-77.06356274194927, 38.80268765491035]}",Ballenger Ave & Dulaney St,2014.0
18th & R St NW,classic,0825fd75-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:20Z,0,0,18,4,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.912648,-77.041834,2024-10-22T07:07:28Z,217279796,"{'type': 'Point', 'coordinates': [-77.04183399853588, 38.91265431439083]}",18th & R St NW,2014.0
N Pitt St & Montgomery St,classic,1e196ee1-daa4-4fa6-b6f8-197b31e6d170,,2024-10-22T07:06:20Z,1,0,12,1,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",40,DCA-CABI,,38.814031,-77.042817,2024-10-22T07:07:28Z,217279797,"{'type': 'Point', 'coordinates': [-77.0428240361136, 38.81403880972137]}",N Pitt St & Montgomery St,2021.0
N Veitch St & 20th St N,classic,08251cd1-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:17Z,8,0,6,5,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,16,"KEY,CREDITCARD",41,DCA-CABI,,38.896923,-77.086502,2024-10-22T07:07:28Z,217279798,"{'type': 'Point', 'coordinates': [-77.08650614784973, 38.8969282145884]}",N Veitch St & 20th St N,2020.0
7th St & Florida Ave NW,classic,082485e8-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:15Z,6,0,7,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",42,DCA-CABI,,38.916137,-77.022003,2024-10-22T07:07:28Z,217279799,"{'type': 'Point', 'coordinates': [-77.02200306080412, 38.91614595839172]}",7th St & Florida Ave NW,2023.0
Woodmont Ave & Strathmore St,classic,0826190f-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:14Z,6,0,4,2,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,11,"KEY,CREDITCARD",44,DCA-CABI,,38.979875,-77.093522,2024-10-22T07:07:28Z,217279800,"{'type': 'Point', 'coordinates': [-77.09351999172783, 38.97988024703583]}",Woodmont Ave & Strathmore St,2016.0
14th St & Luzon Ave NW,classic,eda09ed8-ca5e-4187-938c-3260cabdf82d,,2024-10-22T07:06:18Z,13,0,5,1,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.969489,-77.033509,2024-10-22T07:07:28Z,217279801,"{'type': 'Point', 'coordinates': [-77.03351281587221, 38.969499319593275]}",14th St & Luzon Ave NW,2023.0
Washington Blvd & 10th St N,classic,082521d3-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:24Z,15,0,0,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,15,"KEY,CREDITCARD",41,DCA-CABI,,38.884734,-77.093485,2024-10-22T07:07:28Z,217279802,"{'type': 'Point', 'coordinates': [-77.09348749611371, 38.88474350673675]}",Washington Blvd & 10th St N,2012.0
Madrillon Rd & Boss St,classic,5017ea72-2248-4ba8-af83-d9c9718b51e0,,2024-10-22T07:06:24Z,10,0,2,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",104,DCA-CABI,,38.910016,-77.226266,2024-10-22T07:07:28Z,217279803,"{'type': 'Point', 'coordinates': [-77.226263597848, 38.91001947467254]}",,
W Broad St & Little Falls St,classic,f4402219-23c9-43ce-8af4-62984ee9ab68,,2024-10-22T07:06:25Z,3,0,8,2,1,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",152,DCA-CABI,,38.883601,-77.173438,2024-10-22T07:07:28Z,217279804,"{'type': 'Point', 'coordinates': [-77.17343881184011, 38.883607172005796]}",W Broad St & Little Falls St,2020.0
14th St & Colorado Ave NW,classic,082549b0-1f3f-11e7-bf6b-3863bb334450,,2024-10-22T07:06:25Z,15,0,3,3,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,19,"KEY,CREDITCARD",42,DCA-CABI,,38.956432,-77.032947,2024-10-22T07:07:28Z,217279805,"{'type': 'Point', 'coordinates': [-77.03295288261154, 38.95643751068976]}",14th St & Colorado Ave NW,2013.0
Ridge Heights Rd & Seahawks Dr,classic,071dcbf5-3f1e-45e0-a4a5-8717adb8743f,,2024-10-22T07:06:23Z,0,0,12,0,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,12,"KEY,CREDITCARD",104,DCA-CABI,,38.936061,-77.337775,2024-10-22T07:07:28Z,217279806,"{'type': 'Point', 'coordinates': [-77.33777705949481, 38.936072807614615]}",Ridge Heights Rd & Seahawks Dr,2023.0
West Hyattsville Metro,classic,cdaa435b-2b99-442a-a274-d6682067ad88,,2024-10-22T07:06:24Z,12,0,4,1,0,YES,YES,YES,YES,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,NO,NO,17,"KEY,CREDITCARD",133,DCA-CABI,,38.955349,-76.968084,2024-10-22T07:07:28Z,217279807,"{'type': 'Point', 'coordinates': [-76.96809053428677, 38.95535680930589]}",West Hyattsville Metro,2020.0
